scorer,,,Aaron,Aaron,Aaron,Aaron,Aaron,Aaron,Aaron,Aaron
bodyparts,,,top,top,bottom,bottom,left,left,right,right
coords,,,x,y,x,y,x,y,x,y
labeled-data,Mouse1,img0014.png,352.1632701398415,250.97245964764642,351.2225217764994,307.29976790275424,323.9408192395787,279.90047182041576,376.03475985964707,279.4300976387447
labeled-data,Mouse1,img0201.png,348.63546377730864,255.32342082810362,348.63546377730864,301.89046481353716,326.2926901479339,279.1949105479092,370.155082588759,279.66528472958026
labeled-data,Mouse1,img0295.png,350.0465863223218,262.8494077348404,350.39936695857506,294.12929081596496,335.5825802359371,278.95972345707366,364.0402182270354,278.95972345707366
labeled-data,Mouse1,img0339.png,349.22343150439747,263.9077496436002,350.0465863223218,291.5422328167742,335.94193282630306,278.86433422991695,361.21797313700915,278.95972345707366
labeled-data,Mouse1,img0577.png,342.6381929610028,257.08732400937004,342.7557865064206,301.65527772270167,320.41301287704584,280.2532524566691,364.0402182270354,280.01806536583354
labeled-data,Mouse1,img0745.png,343.4613477789271,253.91229828309048,344.4020961422692,305.65345826690555,317.9435484232729,280.1356589112513,368.97914713458135,279.78287827499804
labeled-data,Mouse1,img1174.png,344.87247032394026,250.73727255681092,344.04931550601594,307.7701420844253,315.1213033332466,279.4300976387447,372.50695349711424,279.66528472958026
labeled-data,Mouse1,img1203.png,344.519689687687,251.20764673848197,344.4020961422692,307.53495499358974,315.4740839694999,278.95972345707366,372.9773276787853,279.1949105479092
labeled-data,Mouse1,img1227.png,344.43775316946864,251.13664848706148,343.9673789877976,307.81673737842254,315.3921474512815,279.8294735689953,372.54261052431366,280.4174412960841
labeled-data,Mouse1,img1447.png,353.25726907580076,261.6024740292423,353.72764325747175,293.82310547370895,338.08770171690946,279.35909938732425,367.25090098051436,278.3007574785644
labeled-data,Mouse1,img1571.png,346.7896240778239,270.3043963901566,347.14240471407714,291.11845392910044,336.6765791718964,281.12300256859066,355.9619206204093,281.24059611400844
labeled-data,Mouse1,img1632.png,348.5535272590903,271.3627382989165,348.5535272590903,290.5304862020116,338.20529526232724,280.88781547775517,355.9619206204093,281.24059611400844
labeled-data,Mouse1,img1726.png,351.61095943995207,272.06829957142304,351.96374007620534,291.00086038368266,341.9682887156956,281.475783204844,359.4897269829421,282.2989380227683
labeled-data,Mouse1,img1796.png,350.0871423536816,272.97987887880004,350.54537869142064,289.0690658483024,342.29712461211875,281.43179355265255,356.2987904874768,281.4827087012902
labeled-data,Mouse1,img1852.png,349.6289060159426,274.1000121488287,350.4944635427829,288.1525931728244,342.5517003553071,281.3299632553772,356.09512989292614,281.43179355265255
labeled-data,Mouse1,img2020.png,349.883481759131,271.4015092710324,350.03622720504393,291.97122932064934,339.49679143704714,281.7372844444785,358.33539643298343,281.9918601876669
labeled-data,Mouse1,img2274.png,346.370336503132,261.8803764757889,347.32419288459766,300.65729575994914,326.43395213727337,281.00711496566237,364.78042145427963,281.7702287829162
labeled-data,Mouse1,img2477.png,346.65646829450054,256.4920835863823,348.37347438332176,303.4235833474944,322.71377227816083,280.3393903755653,369.645272039273,280.434779602722
labeled-data,Mouse1,img2772.png,345.6071867957765,254.29813136177745,345.9887437044034,305.5221463449425,319.9474846906156,281.38867187428934,371.07611044662394,281.48406110144606
labeled-data,Mouse1,img2826.png,344.7486837513659,254.48890981609094,345.8933544772467,305.90370325356946,318.9935924190483,279.7670550126249,370.9807212194672,279.9578334669384
